food,calories,protein,fat,carbohydrates
shrimp fried,52,1.3,3.2,4.8
shrimp raw,4,0.7,0.023,0.041
blue crab cooked,71,15.2,0.6,0.0
shrimp imitation,29,3.5,0.4,2.6
conch baked,165,33.4,1.5,2.2
squid raw,26,4.4,0.4,0.9
scallop raw,10,1.8,0.091,0.5
lobster raw,116,24.8,1.1,0.0
scallop imitation,28,3.6,0.1,3.0
blue crab raw,18,3.8,0.2,0.018
whelk raw,39,6.7,0.1,2.2
spiny lobster raw,234,43.1,3.2,5.1
clams canned,227,38.8,2.5,9.4
lobster cooked,134,28.5,1.3,0.0
eastern oyster fried,29,1.3,1.8,1.7
clams raw,195,33.3,2.2,8.1
octopus cooked,139,25.3,1.8,3.7
eastern oyster raw,8,0.7,0.2,0.8
oyster fried,61,2.1,3.0,6.7
sturgeon smoked,49,8.8,1.2,0.0
chinook salmon smoked,159,24.9,5.9,0.0
cisco smoked,50,4.6,3.4,0.0
haddock smoked,33,7.1,0.3,0.0
whitefish smoked,147,31.8,1.3,0.0
red salmon sockeye filets smoked,373,65.5,12.3,0.0
eggnog,224,11.6,10.6,20.4
beer light,96,0.8,0.0,5.4
beer budweiser,12,0.1,0.0,0.9
weizenbier erdinger,220,0.0,18.0,0.0
beer light budweiser,9,0.066,0.0,0.4
beer,142,1.5,0.0,11.7
root beer,202,0.0,0.0,52.3
whiskey sour mix,26,0.051,0.072,6.3
whiskey sour,158,0.0,0.0,13.9
tequila sunrise,232,0.6,0.2,23.8
daiquiri,112,0.035,0.036,4.2
pina colada,245,0.6,2.7,32.0
whiskey,58,0.0,0.0,0.1
rum,49,0.0,0.0,0.0
vodka smirnoff,13,0.0,0.4,2.0
coffee liqueur,96,0.041,0.038,13.8
gin,53,0.0,0.0,0.0
dessert wine sweet,165,0.2,0.0,14.1
chenin blanc white wine,118,0.1,0.0,4.9
gamay red wine,115,0.1,0.0,3.5
late harvest white wine,172,0.1,0.0,20.6
gewurztraminer white wine,119,0.1,0.0,3.8
burgundy red wine,172,0.1,0.0,7.4
zinfandel red wine,129,0.1,0.0,4.2
muller thurgau white wine,112,0.1,0.0,5.2
mouvedre red wine,129,0.1,0.0,3.9
table wine,123,0.1,0.0,4.0
wine light,73,0.1,0.0,1.7
white wine,121,0.1,0.0,3.8
petite sirah red wine,125,0.1,0.0,3.9
non alcoholic wine,2,0.1,0.0,0.3
pinot noir red wine,121,0.1,0.0,3.4
pinot gris grigio white wine,122,0.1,0.0,3.0
riesling white wine,118,0.1,0.0,5.5
barbera red wine,170,0.1,0.0,5.6
lemberger red wine,118,0.1,0.0,3.6
merlot red wine,122,0.1,0.0,3.7
sangiovese red wine,126,0.1,0.0,3.9
sauvignon blanc white wine,119,0.1,0.0,3.0
syrah red wine,122,0.1,0.0,3.8
carignane red wine,370,0.4,0.0,12.0
pinot blanc white wine,119,0.1,0.0,2.9
semillon white wine,121,0.1,0.0,4.6
dessert wine dry,760,1.0,0.0,58.4
red wine,125,0.1,0.0,3.8
cabernet sauvignon red wine,166,0.1,0.0,5.2
muscat white wine,123,0.1,0.0,7.8
cooking wine,2,0.028,0.0,0.3
chardonnay white wine,168,0.1,0.0,4.3
claret red wine,122,0.1,0.0,4.4
rice sake,197,0.7,0.0,7.4
fume blanc white wine,121,0.1,0.0,3.3
cabarnet franc red wine,122,0.1,0.0,3.6
chocolate frosting,81,0.2,3.6,13.0
white sugar,19,0.0,0.0,5.0
egg substitute,115,24.0,0.0,4.8
agave syrup,21,0.025,0.081,5.3
splenda sweetener,336,0.0,0.0,91.2
vanilla extract,12,0.0,0.069,0.5
egg yolk dried,27,1.3,2.3,0.054
granulated sugar,16,0.0,0.0,4.2
baking chocolate,145,3.7,15.2,8.7
bakers yeast,18,1.4,0.3,3.1
fondant,106,0.0,0.009,26.4
brown sugar,16,0.024,0.0,4.1
white frosting dry,768,4.8,0.0,196.4
